"ID","povertyRatio24","logPovertyRatio24","inPoverty24","college24","sex","birthYear","isLessAge14R1","isBlack","isHispanic","hasSibling","maxParentEducation","avgPovertyRatio18","logAvgPovertyRatio18","inPoverty18","livesWithMom","momSupport","momStrict","livesWithDad","dadSupport","dadStrict","safeEnv","pctPeersPositive","pctPeersNegative","schoolAbsent","schoolLate","schoolEnvironment","schoolViolence","teacherQuality","liesCheats","negativeEmotions","positiveOutlook"
1,8.94,2.19053558918542,0,1,1,1,0,0,0,0,16,6.33,1.84530023615608,0,1,2,1,1,2,1,1,0.625,0.46,2,5,9,0,6,0,0,0
4,2.62,0.963174317773006,0,0,1,1,0,0,1,0,12,1.045,0.0440168854167743,0,1,2,1,0,0,0,1,0.675,0.83,4,0,2,0,4,0,0,0
5,9.75,2.27726728500976,0,0,0,2,1,0,1,1,12,3.41,1.22671229129543,0,1,1,1,1,1,1,1,0.45,0.22,3,0,7,1,4,1,0,7
8,4.58,1.52169899812609,0,1,1,1,0,0,0,1,12,2.72,1.00063188030791,0,1,2,0,1,2,0,1,0.625,0.2296,0,0,8,0,5,0,0,0
9,4.75,1.55814461804655,0,1,0,2,1,0,0,1,12,4.51,1.50629715351459,0,1,2,0,1,2,0,1,0.5625,0.296,5,0,7,0,5,0,0,11
10,6.34,1.84687876844913,0,1,0,4,1,0,0,1,12,0.27,-1.30933331998376,1,1,2,1,1,2,1,1,0.9,0.05,3,0,10,0,6,0,0,8
11,3.79,1.33236601909433,0,0,1,2,1,0,1,1,14,2.045,0.715397789494765,0,1,1,0,1,2,0,1,0.55,0.69,3,2,4,0,4,2,1,7
13,1.43,0.357674444271816,0,0,0,4,1,0,1,1,6,1.24,0.215111379616945,0,1,2,1,0,0,0,1,0.375,0.097,0,0,7,0,4,0,1,8
18,3.56,1.26976054486394,0,0,0,2,1,1,0,1,15,0,-4.60517018598809,1,1,2,1,1,0,1,1,0.325,0.87,26,16,2,1,2,2,2,9
23,5.81,1.75958057086382,0,0,1,3,1,0,1,1,10,1.18,0.165514438477573,0,1,2,1,1,2,0,0,0.421875,0.78,4.88937492805341,2.39700714204739,3,0,3,1,1,5
